MES;CLIENTE;LINEA_RENOVADO;PLAZO_RENOVADO;FLAG_VENTA;USO_LINEA_TOTAL_TC_T2;USO_TRIM_LINEA_BBVA;NR_ENTIDADES_TOTAL_T2;DIFF_NRO_ENTIDA_TOTALES_T2_T12;SDO_CONSUMO_T2;RESENCIA_OFERTA_PLD_RENOVADO;Ahorro_Sldo_Bco_T1;PConsumo_Sldo_Bco_T1;SDO_BCO_tot_sm_pasivo_Bco_6M;EDAD;SEXO;EST_CIVIL;ANTIGUEDAD_MES;REGION;FLAG_LIMA_PROVINCIA;SUELDO_ESTIMADO;CUBRIR_DEUDA_CONSUMO_SF_RENOVA_PLD
201505;144;3900;6;0;0.165483;0.175161;1;0;513.24;21;3636;0;3611.833333;33;F;S;75;ORIENTE;0;5710;0.1316
201505;145;21450;36;0;0;0;1;1;10904.36;20;1568;22636;6526.166666;33;F;S;49;LIMA ESTE;1;2373;0.508361
201505;146;6695;36;0;0.772003;0.737909;4;-1;120088.95;11;1692;2830;4751.666666;33;M;S;95;LIMA SUR;1;1815;17.9371
201505;147;3900;36;0;;;1;1;3039.13;11;2458;0;2165.5;34;F;S;100;LIMA ESTE;1;1889;0.779264
201505;148;24050;48;0;;;4;0;32597.37;15;13342;66228;8065.5;37;M;S;33;LIMA MODERNA;1;8011;1.3554
201505;149;29425;48;0;;;3;-1;12770.78;;978;24394;29254.66667;34;F;C;48;CENTRO;0;5296;0.434011
201505;150;13195;36;0;0;0;2;1;3519;21;10256;6790;5223.5;35;M;S;57;LIMA SUR;1;3069.8;0.266691
201505;151;15600;48;0;0.005543;0.077268;1;0;3047.64;21;24446;6074;22341;33;M;S;111;LIMA NORTE;1;280;0.195361
201505;152;7800;48;0;0.293125;0.610833;3;0;6633.85;;3486;9676;29667.16667;34;F;S;78;NORTE;0;6884;0.850493
201505;153;13000;18;0;0;0;0;2;;15;4;0;4;34;M;C;83;CALLAO;0;3174;0
201505;154;13065;36;0;0.542496;0.045916;4;-1;34749.15;10;3402;11492;11871.83333;32;M;S;54;LIMA MODERNA;1;120;2.65971
201505;155;10660;36;1;0;0;1;1;3109.43;21;3286;6584;2202.333333;36;F;S;100;LIMA SUR;1;1678;0.291691
201505;156;19500;36;0;0.068926;0;2;0;5700.38;21;1046;7364;777.333333;33;F;S;95;LIMA MODERNA;1;3497;0.292327
201505;157;52000;48;0;0.022307;0.038666;2;0;28313.68;6;15566;56850;19025.16667;33;F;S;83;NORTE;0;5927.82;0.544493
201505;158;52000;48;0;0.006083;0;2;0;1544.34;21;58290;0;27782.83333;33;M;S;68;LIMA SUR;1;8744;0.029698
201505;159;97500;48;0;0;0;1;1;31818.46;21;1266;64480;40249;49;M;C;199;SUR;0;9764;0.326343
